,Year,Make,Model,Price,Mileage,Url
0,2005,suzuki,sv650,2500,43000,https://www.facebook.com//marketplace/item/733780611425956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1,2001,suzuki,sv650,2000,67000,https://www.facebook.com//marketplace/item/1639155696605252/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2,2015,suzuki,sv650s (abs),4800,34000,https://www.facebook.com//marketplace/item/336106512180528/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
4,2011,suzuki,sv650,5000,17000,https://www.facebook.com//marketplace/item/1330945724192669/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
6,2011,suzuki,sv650s,3499,37000,https://www.facebook.com//marketplace/item/1012637283396824/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
7,2013,suzuki,sv650s,4750,34000,https://www.facebook.com//marketplace/item/882181073472500/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
8,2004,suzuki,sv650s,2500,60000,https://www.facebook.com//marketplace/item/1488324528686592/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
10,2000,suzuki,sv650s,2200,40000,https://www.facebook.com//marketplace/item/1039617117037806/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
12,2002,suzuki,sv650,1800,62000,https://www.facebook.com//marketplace/item/6454277164659610/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
13,2003,suzuki,sv650,3000,56000,https://www.facebook.com//marketplace/item/840609990816816/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
16,2003,suzuki,sv650s,1500,25000,https://www.facebook.com//marketplace/item/872663030973204/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
17,2022,suzuki,sv650x,7495,1400,https://www.facebook.com//marketplace/item/691866449726123/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
23,2017,suzuki,sv650 abs,5950,10000,https://www.facebook.com//marketplace/item/794346449101864/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
24,2017,suzuki,sv650,5400,16000,https://www.facebook.com//marketplace/item/180557368425633/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
25,2010,suzuki,sv650s,3200,50000,https://www.facebook.com//marketplace/item/3360093280905507/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
27,none,suzuki,sv650,4800,0,https://www.facebook.com//marketplace/item/165399579942494/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
31,2003,suzuki,sv650,1234,50000,https://www.facebook.com//marketplace/item/1364720717459032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
32,2011,suzuki,sv650,4000,25000,https://www.facebook.com//marketplace/item/245097041641466/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
34,2004,suzuki,sv650,2300,59000,https://www.facebook.com//marketplace/item/970570587377770/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
40,2014,suzuki,sv650s,4000,23000,https://www.facebook.com//marketplace/item/637418055122249/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
41,2021,suzuki,sv650 abs,7200,5000,https://www.facebook.com//marketplace/item/236717608857840/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
43,2009,suzuki,sv650s,4250,17000,https://www.facebook.com//marketplace/item/273714925380704/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
47,2003,suzuki,sv650,2300,45000,https://www.facebook.com//marketplace/item/328139629725003/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
49,2004,suzuki,sv650,2400,32000,https://www.facebook.com//marketplace/item/6954940947902193/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
54,2013,suzuki,sv650,5500,24000,https://www.facebook.com//marketplace/item/299849689349665/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
56,2014,suzuki,gladius sv650,4800,32000,https://www.facebook.com//marketplace/item/694921672453797/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
58,2003,suzuki,sv650s,3000,33000,https://www.facebook.com//marketplace/item/1668487246953635/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
65,2003,suzuki,sv650s trackbike / road bike,5000,89000,https://www.facebook.com//marketplace/item/1781883255560823/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
98,2015,suzuki,sv650a,5700,9600,https://www.facebook.com//marketplace/item/210450164983597/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
100,2021,suzuki,sv650,7800,1800,https://www.facebook.com//marketplace/item/6923397414446380/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
102,2017,suzuki,sv650,6000,7200,https://www.facebook.com//marketplace/item/200247752887722/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
104,2004,suzuki,sv650,2500,62000,https://www.facebook.com//marketplace/item/658965716197054/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
106,2003,suzuki,sv650s,2900,16000,https://www.facebook.com//marketplace/item/150845344740892/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
107,2018,suzuki,sv650,8000,4000,https://www.facebook.com//marketplace/item/1080005989847679/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
108,2018,suzuki,sv650,6850,3600,https://www.facebook.com//marketplace/item/1282062289098882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
113,2017,suzuki,sv650,7500,10000,https://www.facebook.com//marketplace/item/830745472386299/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
115,2018,suzuki,sv650x,6300,1200,https://www.facebook.com//marketplace/item/291363957215492/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
117,2005,suzuki,sv650s,2300,50000,https://www.facebook.com//marketplace/item/1401519667440726/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
118,2019,suzuki,sv650,4600,17000,https://www.facebook.com//marketplace/item/2565873350237884/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
120,2005,suzuki,sv650s,2250,61000,https://www.facebook.com//marketplace/item/1354189278847145/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
121,2006,suzuki,sv650s,4000,55000,https://www.facebook.com//marketplace/item/678449117718678/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
123,2014,suzuki,sv650,4499,22000,https://www.facebook.com//marketplace/item/378306711229029/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
127,2013,suzuki,sv650,4100,34000,https://www.facebook.com//marketplace/item/796201505614969/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
128,2009,suzuki,sv650,3000,30000,https://www.facebook.com//marketplace/item/262595979997168/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
131,2003,suzuki,sv650,3000,49000,https://www.facebook.com//marketplace/item/3611329109151923/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
134,2018,suzuki,sv650x,6700,9800,https://www.facebook.com//marketplace/item/164722469965220/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
136,2022,suzuki,sv650,7700,1200,https://www.facebook.com//marketplace/item/1323631231596304/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
139,2001,suzuki,sv650s,2500,35000,https://www.facebook.com//marketplace/item/911575416989873/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
140,2006,suzuki,sv650,4500,18000,https://www.facebook.com//marketplace/item/878468263273180/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
142,2000,suzuki,sv650,2750,5000,https://www.facebook.com//marketplace/item/344065454854264/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
149,2004,suzuki,sv650,2900,51000,https://www.facebook.com//marketplace/item/243575358245952/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
153,2014,suzuki,sv650s,5600,10000,https://www.facebook.com//marketplace/item/1003586050876448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
158,2018,suzuki,sv650,5795,5000,https://www.facebook.com//marketplace/item/899696094637910/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
162,2003,suzuki,sv650s,1500,40000,https://www.facebook.com//marketplace/item/318928417377030/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
163,2005,suzuki,sv650,4100,43000,https://www.facebook.com//marketplace/item/259150247013459/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
